station name,latitude,longitude,county,peninsula,# months
"GROSSE POINTE FARMS, MI US",42.4077,-82.8891,Wayne,lower,66
"DEARBORN NUMBER 2, MI US",42.3469,-83.1736,Wayne,lower,41
"CADILLAC, MI US",44.2655,-85.3966,Wexford,lower,114
"CADILLAC 9 AND 10 NEWS, MI US",44.21138,-85.40865,Wexford,lower,39
"KENTON, MI US",#N/A,#N/A,,,0
"BEECHWOOD 7 WNW, MI US",#N/A,#N/A,,,0
"K.I. SAWYER WWTP, MI US",#N/A,#N/A,,,0
"RUDYARD 5 SE, MI US",#N/A,#N/A,,,0
"ST. IGNACE, MI US",#N/A,#N/A,,,0
"CARLETON 2 W, MI US",#N/A,#N/A,,,0
"HOUGHTON LAKE 2 NW, MI US",#N/A,#N/A,,,0
"KALAMAZOO STATE HOSPITAL, MI US",#N/A,#N/A,,,0
"SOUTH BOARDMAN 2 W, MI US",#N/A,#N/A,,,0
"YALE 1 NNW, MI US",#N/A,#N/A,,,0
"DUNBAR FOREST EXPERIMENTAL ST, MI US",#N/A,#N/A,,,0
"EAST GRAND RAPIDS, MI US",#N/A,#N/A,,,0
"EATON RAPIDS, MI US",#N/A,#N/A,,,0
"GRAND HAVEN WASTEWATER PLANT, MI US",#N/A,#N/A,,,0
"HALE 5 SSW NUMBER 2, MI US",#N/A,#N/A,,,0
"PORT AUSTIN WWTP, MI US",#N/A,#N/A,,,0
"KENT CITY 2 SW, MI US",#N/A,#N/A,,,0
"GREENLAND 6 N, MI US",#N/A,#N/A,,,0
"SALINE WWTP, MI US",#N/A,#N/A,,,0
"ALPENA 10 NW, MI US",#N/A,#N/A,,,0
"BARAGA, MI US",#N/A,#N/A,,,0
"BLISSFIELD 1 NNE, MI US",#N/A,#N/A,,,0
"CASEVILLE, MI US",#N/A,#N/A,,,0
"EVART, MI US",#N/A,#N/A,,,0
"GWINN K I SAWYER AFB, MI US",#N/A,#N/A,,,0
"HOWELL WWTP, MI US",#N/A,#N/A,,,0
"IRONWOOD NUMBER 2, MI US",#N/A,#N/A,,,0
"ISHPEMING, MI US",#N/A,#N/A,,,0
"KINGSLEY 2 WSW, MI US",#N/A,#N/A,,,0
"ROGERS CITY HOEFT SP, MI US",#N/A,#N/A,,,0
"SAGINAW CON POWER CO, MI US",#N/A,#N/A,,,0
