"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-05","51","0","25",",0,03,","85",",0,22,","7240","0","59.8",",0","71.7",",,,0","47.9",",,,0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-06","167","0","39",",0,20,","92",",0,30,","7310","0","66.5",",0","78.4",",,,0","54.7",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-01","0","0","-13",",0,19,","37",",0,28,","4510","0","14.3",",0","22.0",",,,0","6.5",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-02","0","0","-14",",0,04,+","40",",0,22,","5877","0","16.2",",0","26.8",",,,0","5.5",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-03","0","0","1",",0,08,","53",",0,21,","7092","0","25.8",",0","35.7",",,,0","16.0",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-04","0","0","18",",0,02,+","72",",0,28,","7848","0","39.8",",0","49.1",",,,0","30.4",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-05","0","0","31",",0,05,","74",",0,21,","8351","0","48.8",",0","57.3",",,,0","40.3",",,,0"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-06","16","0","39",",0,20,","90",",0,30,","8525","0","59.7",",0","70.6",",,,0","48.9",",,,0"
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-01",,,,,,,,,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-02",,,,,,,,,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-03",,,,,,,,,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-04",,,,,,,,,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-05",,,,,,,,,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-06",,,,,,,,,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-01","0","0","-20",",0,21,","32",",0,31,+","5233","0","9.7",",0","18.2",",,,0","1.1",",,,0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-02","0","0","-27",",0,13,","39",",0,01,","6768","0","10.1",",0","22.0",",,,0","-1.7",",,,0"
